Periodo,M0,M2 ,M3,M4
01/05/2009,473891910.8,3929565413,4351692066,4656478685
01/06/2009,468343824.4,3970812165,4410751118,4702993428
01/07/2009,474749818.2,3991646291,4451033650,4750449839
01/08/2009,464943904,3894463303,4400205631,4708587599
01/09/2009,460087018,3913068198,4385415370,4713628507
01/10/2009,468186286.6,3968328795,4492278219,4838298036
01/11/2009,478278462.3,3982432847,4511445668,4871388499
01/12/2009,536824462.5,4130781440,4616366611,4988876194
01/01/2010,519517391.1,4081855490,4531526690,4918091291
01/02/2010,513018657.3,4094608048,4511611320,4919903357
01/03/2010,516527701.4,4032744722,4506117243,4948233401
01/04/2010,508527032.3,4019684815,4507718380,4996163235
01/05/2010,517335155.5,4093547244,4580986425,5070400228
01/06/2010,514675633.8,4132719561,4596013260,5090236268
01/07/2010,525939253.5,4152034064,4653645362,5187667368
01/08/2010,518748981.1,4231955534,4729850520,5286095438
01/09/2010,514012112.3,4193951327,4700175225,5296003520
01/10/2010,522847754.5,4294427496,4805584684,5471975546
01/11/2010,531623121.1,4297482581,4734208429,5414738054
01/12/2010,599058360.7,4442009702,4886367969,5618257399
01/01/2011,575338818.8,4431859293,4890732744,5624044046
01/02/2011,568762276.1,4441379304,4892512638,5666671669
01/03/2011,559812846.8,4444644901,4884753169,5693473963
01/04/2011,563870244.2,4476820114,4928006940,5795276082
01/05/2011,563755300.3,4470236062,4948969396,5883959500
01/06/2011,561297800,4527262924,5021114023,5957182547
01/07/2011,568155834.3,4565834755,5055871255,6038803390
01/08/2011,561100355,4608944109,5156864474,6217445171
01/09/2011,568616362.5,4631368843,5197419460,6203314946
01/10/2011,575634865.7,4722292966,5310571212,6359056315
01/11/2011,588599492.9,4786314214,5330381785,6385071461
01/12/2011,665525155.7,4960125963,5547991481,6696737943
01/01/2012,639251863.1,4963954577,5531718869,6756553373
01/02/2012,634676648.2,4967753450,5535900386,6788577273
01/03/2012,642798261.5,5063813574,5647415562,6909560156
01/04/2012,646470935.6,5027747965,5604362326,6944225441
01/05/2012,656623534.7,5055211379,5685210098,7037153565
01/06/2012,669519731.9,5100292843,5781908370,7208221851
01/07/2012,660889321,5104114983,5790815652,7304817169
01/08/2012,658074453.2,5123551112,5833695350,7348650360
01/09/2012,647570543.4,5091448045,5809012599,7415432734
01/10/2012,649644763.2,5187025104,5881732296,7516286880
01/11/2012,669497674.8,5190395258,5900524185,7590296811
01/12/2012,733451725.1,5306754531,6004541370,7814348863
01/01/2013,695950944.7,5293968556,6034080966,7922843535
01/02/2013,686550500.7,5297301366,5977103115,7887801951
01/03/2013,691564113.6,5319918052,6041747488,8037338888
01/04/2013,678914429.3,5285413686,5937202553,8024956180
01/05/2013,688578205.2,5326721542,6054674798,8081487987
01/06/2013,686576437,5469573182,6137825844,8032965483
01/07/2013,680113672.7,5520228165,6177329062,8083107684
01/08/2013,683323703.3,5554395124,6285791397,8166603099
01/09/2013,681670380.3,5534930381,6280561210,8238401883
01/10/2013,687989636.3,5600967124,6421696745,8376027734
01/11/2013,711274007.8,5698579403,6538246290,8510125840
01/12/2013,792262602.3,5872306248,6608001198,8648388935
01/01/2014,769604674.6,5881668900,6616094725,8614377567
01/02/2014,771791358.5,5859314860,6642185576,8748159375
01/03/2014,766960190.9,5852057425,6629092246,8738105204
01/04/2014,768733613.5,5967748671,6716193109,8786498983
01/05/2014,777256249.9,5990793818,6730362778,8891906772
01/06/2014,783001969.3,6060946403,6847905053,9050303339
01/07/2014,783208664.6,6111404449,6906263244,9166899478
01/08/2014,787820210,6123665718,6942106216,9183766572
01/09/2014,788660081,6114631328,6902129575,9130298392
01/10/2014,811715734.7,6163058349,7088509871,9368578752
01/11/2014,829468731.9,6208067094,7136480700,9535566621
01/12/2014,928051802.6,6356234194,7231689758,9630957416
01/01/2015,910089542.8,6497554674,7336186738,9814038682
01/02/2015,917404455.5,6483423543,7357311049,9807460206
01/03/2015,931897661.2,6418897094,7271476164,9666351336
01/04/2015,933091994.6,6476126231,7395799967,9789984920
01/05/2015,943056323.9,6536224878,7492813421,9892928856
01/06/2015,946647963.6,6537726406,7488082796,9858297954
01/07/2015,961274296.8,6548994514,7533212348,9929652200
01/08/2015,964823695,6551246163,7543636464,9958348276
01/09/2015,956954871.9,6558231868,7470464397,9883588125
01/10/2015,975422285.1,6614957229,7597419847,9967876775
01/11/2015,993973732.4,6515031607,7539257446,9857137420
01/12/2015,1087271129,6761044535,7769928305,10119051450
01/01/2016,1067781584,6804560202,7877380405,10237162102
01/02/2016,1071562314,6771465678,7848307435,10194510396
01/03/2016,1064980087,6816853593,7824719315,10160873247
01/04/2016,1078102012,6879613016,7849323982,10188615938
01/05/2016,1095923236,6987906902,7942800881,10183335454
01/06/2016,1105334085,7119001193,8073066967,10257839803
01/07/2016,1116603722,7168971857,8131866094,10314304744
01/08/2016,1111377366,7116798713,8084354435,10279248450
01/09/2016,1124689216,7231920684,8254531377,10567747940
01/10/2016,1135595320,7269977360,8225793511,10515082025
01/11/2016,1157805654,7381047628,8380701288,10613188582
01/12/2016,1261697098,7662999027,8581481845,10811214960
01/01/2017,1236669606,7603905361,8566037535,10832688936
01/02/2017,1234574733,7587829341,8541722040,10861360016
01/03/2017,1236434261,7540815124,8581697755,10931462896
01/04/2017,1235342033,7555699223,8598752388,10949605002
01/05/2017,1234585813,7559946604,8548068502,10868736170
01/06/2017,1240499938,7676700269,8732556783,11068595775
01/07/2017,1238358806,7740065390,8882335581,11183729491
01/08/2017,1223080023,7698045372,8795875283,11092873184
01/09/2017,1226669132,7846367662,8975586670,11327869556
01/10/2017,1240531999,7935068634,8993363453,11309783955
01/11/2017,1257536649,8061705114,9162047114,11476959697
01/12/2017,1372883844,8394065090,9494959091,11712255875
01/01/2018,1337103549,8236764222,9204188799,11438454191
01/02/2018,1334882603,8262795220,9274968547,11469513247
01/03/2018,1356624271,8306747097,9511455277,11775566217
01/04/2018,1353271169,8399109746,9524170807,11805418988
01/05/2018,1362367307,8467697884,9620499044,11902190438
01/06/2018,1393414137,8567406925,9731594096,11989482394
01/07/2018,1380780884,8434727584,9654408147,11934042720
01/08/2018,1380344335,8506482676,9731622039,11977004592
01/09/2018,1366830626,8508985694,9776009859,12052456172
01/10/2018,1373773785,8549110646,9823120423,11985668398
01/11/2018,1407445049,8701307648,9979321961,12158717849
01/12/2018,1494948943,8815667166,10095006309,12262977268
01/01/2019,1442658585,8702653500,10063951810,12351464248
01/02/2019,1424312650,8744413483,10033608388,12334092233
01/03/2019,1417029864,8826482786,10128770330,12475416806
01/04/2019,1409808964,8776012098,10101381473,12410272986
01/05/2019,1423278735,8902391032,10270966162,12628224742
01/06/2019,1420639324,8934026063,10323399631,12630959820
01/07/2019,1403852286,8923500139,10304261626,12597073849
01/08/2019,1412117305,9087065056,10557492347,12910071904
01/09/2019,1402192858,9046367223,10543226792,12891002791
01/10/2019,1401508789,8987117998,10538725032,12907410127
01/11/2019,1442560805,9124889991,10694387974,13007774199
01/12/2019,1548852405,9315954192,10768143122,13190038750
01/01/2020,1527157237,9249820535,10746026512,13232114506
01/02/2020,1513852346,9390303834,10870782331,13362785677
01/03/2020,1565954557,9763356414,11282873034,13557712553
