"Anio","Trimestre","Empresa","NombreCorto","NombreLargo","SIC","NAICS","Activos","Inventarios","PasivoCirc","PasivoLP","PPE","CPP","Efectivo","GC","CBV","UOAD","Ventas","IGR","Deuda","CPC","GO","GVGA","Precio_Accion","mkt_capital","No_Acciones"
2010,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4340.98,386.755,1024.627,204.5,1649.665,348.907,366.255,51.1969985961914,941.883972167969,77.4629974365234,1407.61901855469,10.996000289917,204.5,653.609985351562,1330.15600585938,388.272033691406,4455.5772,3873.5862,0.869379213090506
2010,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4153.083,372.339,796.106,194.5,1670.671,362.193,103.635,78.1999969482422,988.164978027344,82.8119964599609,1456.873046875,10.6590003967285,194.5,710.273986816406,1374.06103515625,385.896057128906,1048.9709,3890.0398,3.70843442844792
2010,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4585.522,441.192,1153.671,184.5,1665.09,179.854,104.816,93.109001159668,1109.6259765625,105.891998291016,1653.96801757812,2.28500008583069,184.5,1030.81506347656,1548.07604980469,438.450073242188,11498.9915,4775.3568,0.415284836065841
2011,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4470.565,448.687,976.739,174.5,1662.102,316.715,139.148,44.2760009765625,954.294006347656,104.207000732422,1476.39697265625,15.9280004501343,174.5,871.856018066406,1372.18994140625,417.895935058594,11498.9915,4734.2832,0.41171290543175
2011,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4386.306,445.364,849.197,164.5,1710.016,303.092,171.095,73.9990005493164,970.97998046875,90.265998840332,1482.34399414062,26.9610004425049,164.5,725.607971191406,1392.07800292969,421.098022460938,5808.9865,4669.112,0.803773945764894
2011,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,4959.726,514.15,1450.468,154.5,1758.744,367.169,554.09,159.632995605469,1069.333984375,94.4039993286133,1545.87902832031,18.2049999237061,154.5,780.724975585938,1451.47497558594,382.140991210938,4397.037,5347.3363,1.21612265259537
2011,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,5331.329,533.791,1813.078,147.834,1832.349,385.567,596,-195.554992675781,1323.10900878906,111.930000305176,1857.50903320312,25.92799949646,147.833999633789,1021.5419921875,1745.57897949219,422.469970703125,1051.4921,5340.6013,5.07906935296994
2012,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,5118.557,548.451,1302.759,335.322,2288.893,334.373,286.318,68.4199981689453,1093.85205078125,110.088996887207,1609.61901855469,18.5340003967285,197.832992553711,930.690002441406,1499.53002929688,405.677978515625,1051.4921,5644.136,5.3677398051778
2012,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,5455.301,578.835,1622.351,247.799,2374.282,446.091,320.319,184.889007568359,1250.60498046875,105.319999694824,1741.92504882812,13.7440004348755,187.832992553711,1083.59997558594,1636.60510253906,386.000122070312,11824.6725,5808.9865,0.491259821360803
2012,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,5448.072,618.284,1487.546,213.226,2485.003,441.665,179.033,132.921997070312,1382.28894042969,105.712997436523,1834.083984375,7.0789999961853,177.832992553711,1057.18005371094,1728.37097167969,346.08203125,5891.5475,5891.5475,1
2012,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6036.707,533.154,1964.134,175.039,2373.778,415.252,179.9,-134.710006713867,1762.35803222656,139.572998046875,2186.3349609375,76.1460037231445,152.5,1750.42297363281,2046.76196289062,284.403930664062,4420.4414,6169.4589,1.39566580387198
2013,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6118.767,568.425,2005.5,116.139,2407.74,312.374,181.283,60.6829986572266,1329.53698730469,137.59700012207,1843.03601074219,40.9080009460449,93.5999984741211,1746.95495605469,1705.43896484375,375.901977539062,4527.8827,7750.5469,1.7117375633428
2013,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6489.447,621.914,2416.051,92.524,2465.088,368.197,146.969,13.3149995803833,1448.17602539062,147.945007324219,2021.791015625,33.7599983215332,69.9850006103516,2036.49194335938,1873.84594726562,425.669921875,1251.2756,10094.2686,8.06718248162115
2013,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,5878.167,621.649,1733.508,93.545,2542.953,343.824,376.994,0,1440.10498046875,127.303001403809,1981.56701660156,34.4119987487793,67.7669982910156,1114.31298828125,1854.26403808594,414.159057617188,11849.4789,10406.0849,0.878189242566608
2013,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6104.414,585.544,1938.004,181.931,2768.028,404.67,383.365,530.966003417969,1633.06494140625,140.052993774414,2212.43090820312,6.125,69.3010025024414,1114.53100585938,2072.3779296875,439.31298828125,6169.4589,11439.7609,1.85425676472211
2014,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6159.015,605.904,1896.289,198.905,2844.63,419.542,303.4,130.313995361328,1473.73596191406,138.445999145508,2013.77697753906,49.3600006103516,67.4339981079102,1110.3330078125,1875.33093261719,401.594970703125,7750.5469,10063.2182,1.2983881434225
2014,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,6536.417,685.648,2106.616,219.813,2940.33,616.761,175.158,111.263999938965,1617.25598144531,175.009994506836,2214.65600585938,27.6299991607666,67.3479995727539,1418.25305175781,2039.64599609375,422.390014648438,4521.8391,10258.0713,2.26856176726854
2014,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,7206.116,679.195,2695.494,239.251,3074.377,841.332,310.117,178.067993164062,1731.96899414062,152.740997314453,2303.63891601562,17.1380004882812,65.0459976196289,1813.71398925781,2150.89794921875,418.928955078125,1314.3652,10005.1865,7.61218153067351
2014,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,7795.26,733.619,3279.02,296.443,3155.202,576.531,876.443,193.050994873047,1896.65405273438,212.164001464844,2594.03295898438,52.2070007324219,55.8019981384277,1625.56896972656,2381.86889648438,485.21484375,12124.0144,10237.4878,0.844397528924083
2015,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,7737.372,752.734,3144.229,332.139,3223.025,507.57,884.095,128.470993041992,1712.626953125,140.014999389648,2281.76708984375,20.7329998016357,55.8019981384277,1433.97302246094,2141.75219726562,429.125244140625,11950.0336,9987.793,0.835796227384666
2015,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,7849.915,761.691,1329.447,2189.289,3385.008,504.918,706.502,206.824996948242,1761.82397460938,183.897003173828,2416.34594726562,19.1800003051758,1891.20397949219,1540.61206054688,2232.44897460938,470.625,10094.2686,10711.0168,1.06109884969774
2015,3,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,8482.337,769.789,1655.584,2440.647,3680.736,654.922,735.779,351.376007080078,1772.61901855469,157.429000854492,2378.55908203125,24.3250007629395,2135.04711914062,1820.68103027344,2221.13012695312,448.511108398438,4499.95,11007.4712,2.44613189035434
2015,4,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,8529.442,727.331,2103.669,1917.055,3933.055,672.696,630.162,423.444000244141,1864.89294433594,218.850006103516,2632.59497070312,79.5830001831055,1748.02001953125,1830.0859375,2413.74487304688,548.851928710938,1285.4491,11321.9703,8.80779355635318
2016,1,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,8417.81,705.873,1770.822,1971.054,3985.718,325.339,657.145,120.317001342773,1754.58203125,149.47900390625,2424.6220703125,17.9540004730225,1785.5830078125,1156.12902832031,2275.14306640625,520.56103515625,1750.7344,11321.9703,6.46698339850979
2016,2,"GRUPO BAFAR S.A.B DE C.V.","BAFAR","GPO. BAFAR",2000,3116,8896.769,921.905,2119.627,2239.243,4139.012,677.573,317.73,234.983993530273,1962.79504394531,191.75700378418,2747.03491210938,3.36100006103516,1965.86401367188,1336.44702148438,2555.27783203125,592.482788085938,11976.0996,11009.0616,0.919252675553901
